sku_item,orders,customers
0724999810463 | Lean Protein (40g / single serve) | 40g Sachet / Thai Milk Tea,14,14
724999807845 | SOY PROTEIN ISOLATE | 1KG Pack / Natural (Unflavoured),14,11
724999808903 | BETTER WHEY PROTEIN | 500g Pack (20 servings) / Vanilla,14,11
0724999808941 | BETTER WHEY PROTEIN | 500g Pack (20 servings) / Matchawhey,13,8
LEAN-TAR-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet / Taro,13,11
0724999810470 | Lean Protein (40g / single serve) | 40g Sachet / Taro,13,13
0724999809610 | Discovery Sampler (6 sachets variety pack) | 6 Sachets Variety,13,13
724999809146 | Superset Coffee | 500g (40 servings),13,13
724999809009 | Collagen Glow Single Serve | 1 x 10g Sachet (1 serving),13,13
LEAN-THA-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet / Thai Milk Tea,13,13
724999807890 | BETTER WHEY PROTEIN | 1KG Pack / Natural/Unflavored,12,12
0724999808699 | LEAN MEAL | 500g Pack (10 servings) / Belgian Choc,12,9
724999808941 | Better Whey Protein | 500g Pack / Matchawhey,12,12
724999807814 | CLEAR PROTEIN (PRESALE) | 500g Pack (20 Servings) / Peach,12,12
0724999809207 | BETTER WHEY PROTEIN ELITE | 1kg Pack (40 servings) / Vanilla,12,9
724999808910 | BETTER WHEY PROTEIN | 500g Pack (20 servings) / Teh Tarik,12,8
0724999807760 | Prime Whey Isolate | Natural (Unflavored) / 1kg,12,11
0724999809559 | *FREE GIFT* Lushprotein Logo White Cap (Spend above RM350) | Default,12,11
7249998080422 | Better Whey Protein | 1KG Pack / Teh Tarik,11,10
724999808378 | Vegan MULTI Super Multivitamin Capsules | 90 Capsules (30 servings),11,9
724999807890 | BETTER WHEY PROTEIN | 1KG Pack / Natural / Unflavored,11,11
724999808910 | Better Whey Protein | 500g Pack / Teh Tarik,11,11
0724999807814_4 | CLEAR PROTEIN | 4 x 500g Pack (80 servings) / Peach,11,10
0724999810463_5 | Lean Protein Single Serve | 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,11,7
SOY-UNF-1KG-2BL-V1 | SOY PROTEIN ISOLATE | 2 x 1kg Pack (80 servings) *Most Popular* / Unflavoured,11,9
0724999807555 | SUPER OMEGA 3 CAPSULES | 60 Softgels (60 servings),11,10
0724999808606 | Plant Protein | 480g Pack / Cocoa Dinosaur,11,11
724999807807 | CLEAR PROTEIN (PRESALE) | 500g Pack (20 Servings) / White Grape,11,11
ELT-CHO-1KG-V1 | BETTER WHEY PROTEIN ELITE | 1kg pack (40 servings) / Cocoa Dinosaur,11,11
0724999810470 | Lushprotein Lean Protein (40g/single serve) | 40g Sachet / Taro,11,11
0724999807777 | Prime Whey Isolate | 1kg Pack (40 servings) / Matchawhey,11,5
0724999807562 | PURE BURN THERMOGENIC CAPSULES | 90 Tablets (90 servings),11,11
0724999808422 | Better Whey Protein | 1KG Pack / Teh Tarik,11,11
0724999808620 | Plant Protein | Natural (Unflavored),11,11
724999807555 | Super Omega 3 Capsules | 60 Softgels (60 servings),11,10
BET-UNF-1KG-V1 | BETTER WHEY PROTEIN | 1kg (40 servings) / Unflavoured,11,6
0724999809610 | Discovery Sampler | 6 Sachets Variety,10,10
724999807562 | Pureburn™ Thermogenic Capsules | 90 Capsules (90 servings),10,9
0724999809184 | Better Whey Protein ELITE | 1KG Pack / Cocoa Dinosaur,10,9
ELT-VAN-500G-V1 | BETTER WHEY PROTEIN ELITE | 500g (20 serves) / Vanilla,10,10
0724999810470_5 | Lean Protein Single Serve | 5 x 40g Sachet (5 servings) *Most Popular* / Taro,10,2
0724999807555 | Super Omega 3 Capsules | 60 Softgels,10,8
724999808903 | Better Whey Protein | 500g Pack / Vanilla,10,10
724999809009 | Collagen Glow Single Serve | 10g Sachet,10,10
0724999808507 | COLLAGEN GLOW (ID) | 300g Pack (30 servings),10,10
0724999808613 | Plant Protein | 480g Pack / Vanilla,10,9
0724999807999_2 | CREATINE MONOHYDRATE | 2 x 250g Pack (100 servings) *Most Popular*,10,7
0724999807845 | SOY PROTEIN ISOLATE (ID) | 1kg Pack (40 servings) / Natural (Unflavoured),9,9
SOY-UNF-1KG-4BL-V1 | SOY PROTEIN ISOLATE | 4 x 1kg Pack (160 servings) / Unflavoured,9,8
0724999808880 | BETTER WHEY PROTEIN | 500g (20 serves) / Unflavoured,9,9
LEAN-THA-40G-5PK-V1 | Lean Protein Single Serve | 5 x 40g Sachet / Thai Milk Tea,9,8
0724999807814 | CLEAR PROTEIN (PRESALE) | 500g Pack (20 Servings) / Peach,9,9
724999807913 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Vanilla,9,8
COL-UNF-300G-4BL-V1 | COLLAGEN GLOW | 4 x 300g packs (120 servings),9,8
724999808620 | Plant Protein | Natural (Unflavored) / 480g,9,9
724999808880 | BETTER WHEY PROTEIN | 500g Pack / Natural (Unflavored),9,9
CLEAR-PEA-500G-4BL-V2 | CLEAR PROTEIN | 4 x 500g Pack (80 servings) / Peach,9,9
0724999810494_5 | Clear Protein Single Serve | 5 x 25g Sachet (5 servings)  *MOST POPULAR* / Peach,9,6
0724999807807 | CLEAR PROTEIN (PRESALE) | 500g Pack (20 Servings) / White Grape,9,9
724999809191 | BETTER WHEY PROTEIN ELITE | 500g Pack (20 servings) / Cocoa Dinosaur,9,9
0724999807791 | Prime Whey Isolate | 1KG Pack / Cocoa-dinosaur,8,8
LEAN-TAR-1KG-4BL-V1 | LEAN PROTEIN | 4 x 1kg Packs (100 servings) / Taro,8,6
0724999808880 | Better Whey Protein | 500g Pack / Natural (Unflavored),8,7
0724999808897 | BETTER WHEY PROTEIN (ID) | 500g Pack (20 servings) / Cocoa Dinosaur,8,8
