sku_norm,Line: Title,Line: Variant Title,product_category,line_items,orders,revenue_sgd,covered_revenue_sgd,covered_lines,estimated_gross_profit_sgd,estimated_cogs_sgd,revenue_coverage_pct,line_coverage_pct,estimated_margin_pct
0724999807814_2,CLEAR PROTEIN,2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,Clear Protein,39,39,4711.85,0.0,0,0.0,0.0,0.0,0.0,
CAP-PBT-BOTTLE-V1,PURE BURN THERMOGENIC CAPSULES,90 Tablets,Other,41,41,4673.5,4673.5,41,4154.56,518.9399999999999,1.0,1.0,0.8889611640098428
,"Better Whey Protein - 500g Pack, Mango",,Unknown,96,95,4659.772121212121,0.0,0,0.0,0.0,0.0,0.0,
,"Plant Protein - 4 Pack Bundle (1,920g), Chocolate Dinosaur",,Unknown,38,38,4646.973636363637,0.0,0,0.0,0.0,0.0,0.0,
,Superset Coffee - 500g (40 servings),,Unknown,66,66,4588.21,0.0,0,0.0,0.0,0.0,0.0,
0724999807562,Pureburn™ Thermogenic Capsules,90 Tablets (90 servings),Other,48,46,4584.51,4584.51,48,3722.4,862.1099999999999,1.0,1.0,0.8119515498930092
0724999807807_2,CLEAR PROTEIN,2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,Clear Protein,36,36,4522.16,0.0,0,0.0,0.0,0.0,0.0,
,Collagen Glow Bundle,,Unknown,70,70,4465.047272727273,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Elite - 1KG Pack, Chocolate Dinosaur",,Unknown,37,37,4445.249090909091,0.0,0,0.0,0.0,0.0,0.0,
PLT-VAN-480G-V1,PLANT PROTEIN,480g Pack (16 servings) / Vanilla,Other,78,78,4434.18,4434.1799999999985,78,3254.68,1179.5,0.9999999999999996,1.0,0.7339981687707763
,Lushprotein Lean Protein (40g/single serve) (Not linked to Shopify),,Unknown,79,66,4328.15,0.0,0,0.0,0.0,0.0,0.0,
,PUREBURN™ Fat Burner - 90 Capsules,,Unknown,35,35,4313.80303030303,0.0,0,0.0,0.0,0.0,0.0,
724999808507,Collagen Glow,300g Pack,Collagen Glow,59,58,4253.154545454546,0.0,0,0.0,0.0,0.0,0.0,
,Creatine Monohydrate Powder - 250g,,Unknown,110,110,4204.075757575758,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Elite - 1KG Pack, Vanilla",,Unknown,33,33,4174.416666666667,0.0,0,0.0,0.0,0.0,0.0,
,Plant Protein Starter Pack,,Unknown,219,219,4096.306363636364,0.0,0,0.0,0.0,0.0,0.0,
724999808606,PLANT PROTEIN,480g Pack (16 servings) / Cocoa Dinosaur,Other,73,62,3998.1193939393943,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey - 5KG Bundle, Natural (Unflavoured)",,Unknown,27,27,3927.8484848484845,0.0,0,0.0,0.0,0.0,0.0,
0724999807791,Prime Whey Isolate,Cocoa Dinosaur,Other,28,28,3921.2951515151517,3921.2951515151517,28,2402.7251515151515,1518.5700000000002,1.0,1.0,0.6127376437315005
