first_handle,first_variant,first_sku,flavor_sku,customers,repeat_rate,avg_ltv
better-whey,1KG Pack / Matchawhey,0724999807784,better-whey | 1KG Pack / Matchawhey,5,0.2,106.39727272727274
soy-protein-isolate,1KG Pack / Natural (Unflavoured),0724999807845,unknown | Default,5,1.0,750.028303030303
collagen-glow,300g Pack,0724999808507,unknown | Default,5,1.0,834.5364848484849
lushprotein-clear-shaker,1kg Pack (40 servings) / Natural (Unflavoured),0724999808361,lushprotein-clear-shaker | Default,5,0.8,122.17236363636364
pureburn-fat-burner-capsules,90 Tablets,CAP-PBT-BOTTLE-V1,pureburn-fat-burner-capsules | 90 Tablets,5,0.2,192.724
better-whey,500g Pack / Cocoa Dinosaur,724999808897.0,unknown | Default,5,1.0,213.25272727272733
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-THA-1KG-V1,unknown | Default,5,0.6,321.222
micronized-creatine-monohydrate,500g Pack (20 Serv) / Peach,0724999807999,micronized-creatine-monohydrate | Default,5,0.4,153.78472727272728
collagen-glow,1 x 300g pack (30 servings),0724999808507,collagen-glow | 1 x 300g pack (30 servings),5,0.4,180.704
plant-protein,Cocoa Dinosaur / 480g,0724999808606,unknown | Default,5,1.0,307.768
plant-protein,Vanilla,0724999808613,plant-protein | Vanilla,5,0.0,50.722787878787884
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,0724999810517,lushprotein-lean-protein-40g-single-serve | 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,5,0.6,143.778
lushprotein-clear-shaker,300g (30 serves) / Unflavoured,0724999808361,lushprotein-clear-shaker | Default,5,0.8,123.68145454545456
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,LEAN-THA-1KG-2BL-V1,lean-protein | 2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,5,0.4,194.738
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,0724999807807_2,clear-protein | 2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,4,0.0,118.195
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,unknown | Default,4,0.75,205.69075757575757
super-omega-3,60 Capsules,724999807555.0,super-omega-3 | 60 Capsules,4,0.5,161.7475
clear-protein,1 x 500g Pack (20 servings) / Peach,CLEAR-PEA-500G-V2,unknown | Default,4,1.0,512.3225
clear-protein,500g Pack (20 Servings) / Peach,0724999807814,clear-protein | 500g Pack (20 Servings) / Peach,4,0.0,72.3259090909091
collagen-glow,500g (40 servings),724999809146.0,unknown | 500g (40 servings),4,0.75,246.305
